Species,decimalLongitude,decimalLatitude
Vitellaria paradoxa C.F.Gaertn.,3.342342,10.304224
Vitellaria paradoxa C.F.Gaertn.,3.350968,10.3
Vitellaria paradoxa C.F.Gaertn.,3.328943,10.312179
Vitellaria paradoxa C.F.Gaertn.,3.333494,10.305807
Vitellaria paradoxa C.F.Gaertn.,3.340799,10.304552
Vitellaria paradoxa C.F.Gaertn.,3.338513,10.301832
Vitellaria paradoxa C.F.Gaertn.,3.342166,10.301764
Vitellaria paradoxa C.F.Gaertn.,3.342066,10.31042
Vitellaria paradoxa C.F.Gaertn.,3.340309,10.307121
Vitellaria paradoxa C.F.Gaertn.,3.332518,10.307162
Vitellaria paradoxa C.F.Gaertn.,3.345347,10.303896
Vitellaria paradoxa C.F.Gaertn.,3.347106,10.300927
Vitellaria paradoxa C.F.Gaertn.,3.340718,10.313921
Vitellaria paradoxa C.F.Gaertn.,3.306898,10.181492
Vitellaria paradoxa C.F.Gaertn.,3.312559,10.173447
Vitellaria paradoxa C.F.Gaertn.,3.308973,10.193474
Vitellaria paradoxa C.F.Gaertn.,3.308943,10.19096
Vitellaria paradoxa C.F.Gaertn.,3.356619,10.306289
Vitellaria paradoxa C.F.Gaertn.,3.308462,10.307487
Vitellaria paradoxa C.F.Gaertn.,3.342382,10.307191
Vitellaria paradoxa C.F.Gaertn.,3.343495,10.306367
Vitellaria paradoxa C.F.Gaertn.,3.34291,10.305336
Vitellaria paradoxa C.F.Gaertn.,3.343292,10.303961
Vitellaria paradoxa C.F.Gaertn.,3.344277,10.303209
Vitellaria paradoxa C.F.Gaertn.,3.344827,10.305135
Vitellaria paradoxa C.F.Gaertn.,3.305642,10.194816
Vitellaria paradoxa C.F.Gaertn.,3.314114,10.185293
Vitellaria paradoxa C.F.Gaertn.,3.324533,10.178219
Vitellaria paradoxa C.F.Gaertn.,3.316912,10.18955
Vitellaria paradoxa C.F.Gaertn.,3.314589,10.185401
Vitellaria paradoxa C.F.Gaertn.,3.314107,10.187446
Vitellaria paradoxa C.F.Gaertn.,3.325466,10.180606
Vitellaria paradoxa C.F.Gaertn.,3.313003,10.188044
Vitellaria paradoxa C.F.Gaertn.,3.311536,10.191482
Vitellaria paradoxa C.F.Gaertn.,3.31189,10.189103
Vitellaria paradoxa C.F.Gaertn.,3.312623,10.191797
Vitellaria paradoxa C.F.Gaertn.,3.312256,10.189944
Vitellaria paradoxa C.F.Gaertn.,3.269871,10.195336
Vitellaria paradoxa C.F.Gaertn.,3.269524,10.194802
Vitellaria paradoxa C.F.Gaertn.,3.272087,10.192123
Vitellaria paradoxa C.F.Gaertn.,3.266856,10.192815
Vitellaria paradoxa C.F.Gaertn.,3.269096,10.196024
Vitellaria paradoxa C.F.Gaertn.,3.271927,10.196944
Vitellaria paradoxa C.F.Gaertn.,3.271096,10.197053
Vitellaria paradoxa C.F.Gaertn.,3.271351,10.196167
Vitellaria paradoxa C.F.Gaertn.,3.274264,10.196969
Vitellaria paradoxa C.F.Gaertn.,3.271689,10.196067
Vitellaria paradoxa C.F.Gaertn.,3.269937,10.196991
Vitellaria paradoxa C.F.Gaertn.,3.271351,10.196528
Vitellaria paradoxa C.F.Gaertn.,3.271568,10.194014
Vitellaria paradoxa C.F.Gaertn.,3.270574,10.19548
Vitellaria paradoxa C.F.Gaertn.,3.272353,10.193868
Vitellaria paradoxa C.F.Gaertn.,3.270091,10.196421
Vitellaria paradoxa C.F.Gaertn.,3.273011,10.194248
Vitellaria paradoxa C.F.Gaertn.,3.685373,10.478775
Vitellaria paradoxa C.F.Gaertn.,3.684263,10.480659
Vitellaria paradoxa C.F.Gaertn.,3.682013,10.487998
Vitellaria paradoxa C.F.Gaertn.,3.683866,10.48331
Vitellaria paradoxa C.F.Gaertn.,3.683102,10.484776
Vitellaria paradoxa C.F.Gaertn.,3.681913,10.484164
Vitellaria paradoxa C.F.Gaertn.,3.706316,10.51466
Vitellaria paradoxa C.F.Gaertn.,3.705307,10.513043
Vitellaria paradoxa C.F.Gaertn.,3.727866,10.526929
Vitellaria paradoxa C.F.Gaertn.,3.738976,10.556484
Vitellaria paradoxa C.F.Gaertn.,3.716895,10.521157
Vitellaria paradoxa C.F.Gaertn.,3.717143,10.517665
Vitellaria paradoxa C.F.Gaertn.,3.725397,10.530199
Vitellaria paradoxa C.F.Gaertn.,3.717101,10.523508
Vitellaria paradoxa C.F.Gaertn.,3.71894,10.516431
Vitellaria paradoxa C.F.Gaertn.,3.657717,10.510659
Vitellaria paradoxa C.F.Gaertn.,3.67991,10.504363
Vitellaria paradoxa C.F.Gaertn.,3.668056,10.507662
Vitellaria paradoxa C.F.Gaertn.,3.715454,10.522643
Vitellaria paradoxa C.F.Gaertn.,3.673171,10.494058
Vitellaria paradoxa C.F.Gaertn.,3.681495,10.502044
Vitellaria paradoxa C.F.Gaertn.,3.679515,10.503586
Vitellaria paradoxa C.F.Gaertn.,3.677779,10.503698
Vitellaria paradoxa C.F.Gaertn.,3.679282,10.501506
Vitellaria paradoxa C.F.Gaertn.,3.678819,10.498695
Vitellaria paradoxa C.F.Gaertn.,3.675593,10.502871
Vitellaria paradoxa C.F.Gaertn.,3.675472,10.497526
Vitellaria paradoxa C.F.Gaertn.,3.00803,11.076011
Vitellaria paradoxa C.F.Gaertn.,3.010566,11.057172
Vitellaria paradoxa C.F.Gaertn.,3.269218,10.361436
Vitellaria paradoxa C.F.Gaertn.,3.279509,10.387972
Vitellaria paradoxa C.F.Gaertn.,3.010923,11.058348
Vitellaria paradoxa C.F.Gaertn.,3.396213,10.270962
Vitellaria paradoxa C.F.Gaertn.,3.40021,10.269058
Vitellaria paradoxa C.F.Gaertn.,3.298548,10.360198
Vitellaria paradoxa C.F.Gaertn.,3.287095,10.351662
Vitellaria paradoxa C.F.Gaertn.,3.009806,11.05662
Vitellaria paradoxa C.F.Gaertn.,3.282812,10.383836
Vitellaria paradoxa C.F.Gaertn.,3.305694,10.362669
Vitellaria paradoxa C.F.Gaertn.,3.300877,10.388323
Vitellaria paradoxa C.F.Gaertn.,3.013899,11.066207
Vitellaria paradoxa C.F.Gaertn.,3.367732,10.374995
Vitellaria paradoxa C.F.Gaertn.,3.363242,10.378989
Vitellaria paradoxa C.F.Gaertn.,3.142089,10.358839
Vitellaria paradoxa C.F.Gaertn.,3.005429,11.066795
Vitellaria paradoxa C.F.Gaertn.,3.270126,10.386596
Vitellaria paradoxa C.F.Gaertn.,3.272322,10.401707
Vitellaria paradoxa C.F.Gaertn.,3.35737,10.396279
Vitellaria paradoxa C.F.Gaertn.,3.35711,10.417044
Vitellaria paradoxa C.F.Gaertn.,3.000751,11.067446
Vitellaria paradoxa C.F.Gaertn.,3.135503,10.359177
Vitellaria paradoxa C.F.Gaertn.,3.136055,10.326409
Vitellaria paradoxa C.F.Gaertn.,3.137868,10.355866
Vitellaria paradoxa C.F.Gaertn.,3.139209,10.353713
Vitellaria paradoxa C.F.Gaertn.,3.140269,10.353585
Vitellaria paradoxa C.F.Gaertn.,3.13996,10.35629
Vitellaria paradoxa C.F.Gaertn.,3.014457,11.067572
Vitellaria paradoxa C.F.Gaertn.,3.135558,10.358851
Vitellaria paradoxa C.F.Gaertn.,3.135512,10.359774
Vitellaria paradoxa C.F.Gaertn.,3.006656,11.053916
Vitellaria paradoxa C.F.Gaertn.,3.270844,10.467614
Vitellaria paradoxa C.F.Gaertn.,3.268869,10.476732
Vitellaria paradoxa C.F.Gaertn.,3.268633,10.435482
Vitellaria paradoxa C.F.Gaertn.,3.007764,11.053075
Vitellaria paradoxa C.F.Gaertn.,3.140765,10.358958
Vitellaria paradoxa C.F.Gaertn.,3.140828,10.357908
Vitellaria paradoxa C.F.Gaertn.,3.012195,11.055725
Vitellaria paradoxa C.F.Gaertn.,3.14111,10.355964
Vitellaria paradoxa C.F.Gaertn.,3.141293,10.355005
Vitellaria paradoxa C.F.Gaertn.,3.139274,10.355838
Vitellaria paradoxa C.F.Gaertn.,3.138937,10.356969
Vitellaria paradoxa C.F.Gaertn.,3.145706,10.358557
Vitellaria paradoxa C.F.Gaertn.,3.134938,10.363139
Vitellaria paradoxa C.F.Gaertn.,3.013779,11.055119
Vitellaria paradoxa C.F.Gaertn.,3.144851,10.345444
Vitellaria paradoxa C.F.Gaertn.,3.141434,10.364448
Vitellaria paradoxa C.F.Gaertn.,3.020037,10.434292
Vitellaria paradoxa C.F.Gaertn.,3.01431,11.056304
Vitellaria paradoxa C.F.Gaertn.,3.142031,10.351324
Vitellaria paradoxa C.F.Gaertn.,3.015738,11.057262
Vitellaria paradoxa C.F.Gaertn.,3.134618,10.362017
Vitellaria paradoxa C.F.Gaertn.,3.141444,10.345327
Vitellaria paradoxa C.F.Gaertn.,3.142423,10.350283
Vitellaria paradoxa C.F.Gaertn.,3.143528,10.350229
Vitellaria paradoxa C.F.Gaertn.,3.140926,10.352409
Vitellaria paradoxa C.F.Gaertn.,3.143294,10.356849
Vitellaria paradoxa C.F.Gaertn.,3.016617,11.056086
Vitellaria paradoxa C.F.Gaertn.,3.008726,10.458106
Vitellaria paradoxa C.F.Gaertn.,3.015825,10.424352
Vitellaria paradoxa C.F.Gaertn.,3.009055,11.057036
Vitellaria paradoxa C.F.Gaertn.,3.482918,10.478623
Vitellaria paradoxa C.F.Gaertn.,3.51595,10.48861
Vitellaria paradoxa C.F.Gaertn.,3.00987,11.059804
Vitellaria paradoxa C.F.Gaertn.,3.494796,10.512122
Vitellaria paradoxa C.F.Gaertn.,3.445439,10.42406
Vitellaria paradoxa C.F.Gaertn.,3.404065,10.47668
Vitellaria paradoxa C.F.Gaertn.,3.476514,10.479193
Vitellaria paradoxa C.F.Gaertn.,3.525569,10.465179
Vitellaria paradoxa C.F.Gaertn.,3.011454,11.056358
Vitellaria paradoxa C.F.Gaertn.,3.009055,11.057036
Vitellaria paradoxa C.F.Gaertn.,3.00987,11.059804
Vitellaria paradoxa C.F.Gaertn.,3.011454,11.056358
Vitellaria paradoxa C.F.Gaertn.,3.006656,11.053916
Vitellaria paradoxa C.F.Gaertn.,3.007764,11.053075
